name,type,start_time,duration,"ack","address","read","data"
"I2C","data",2.2217624,0.0000877,false,,,0x42
"I2C","data",2.2218549,0.0000878,true,,,0x40
"I2C","data",2.2219475,0.0021355,false,,,0x1F
"I2C","data",2.2240878,0.0000878,true,,,0xC0
"I2C","data",2.2241804,0.0000877,true,,,0x42
"I2C","data",2.224273,0.0000876,true,,,0x88
"I2C","data",2.2243655,0.0000877,false,,,0x02
"I2C","data",2.224458,0.0000877,true,,,0xC2
"I2C","data",2.2245506,0.0000877,true,,,0x43
"I2C","data",2.2246431,0.0000877,true,,,0x08
"I2C","data",2.2247357,0.0000877,true,,,0xC3
"I2C","data",2.2248282,0.0000877,true,,,0x40
"I2C","data",2.2249208,0.0000877,true,,,0x03
"I2C","data",2.2250133,0.0000877,true,,,0x89
"I2C","data",2.2251058,0.0000877,true,,,0xC6
"I2C","data",2.2251984,0.0000877,true,,,0x81
"I2C","data",2.2252909,0.0000877,false,,,0x49
"I2C","data",2.2253835,0.0000877,true,,,0xD9
"I2C","data",2.225476,0.0000877,true,,,0x8A
"I2C","data",2.2255686,0.0000877,true,,,0x15
"I2C","data",2.2256611,0.0000877,true,,,0x0B
"I2C","data",2.2257536,0.0000877,true,,,0x84
"I2C","data",2.2258462,0.0000877,false,,,0xCD
"I2C","data",2.2259387,0.0000877,true,,,0x40
"I2C","data",2.2260313,0.0000877,true,,,0x07
"I2C","data",2.2261238,0.0000877,true,,,0x42
"I2C","data",2.2262164,0.0000877,false,,,0x86
"I2C","data",2.2263089,0.0000877,true,,,0x5B
"I2C","data",2.2264014,0.0000877,true,,,0x84
"I2C","data",2.226494,0.0000877,true,,,0x83
"I2C","data",2.2265865,0.0000877,false,,,0x86
"I2C","data",2.2266791,0.0000877,true,,,0xD8
"I2C","data",2.2267716,0.0000877,true,,,0xC4
"I2C","data",2.2268641,0.0000877,true,,,0xC0
"I2C","data",2.2269567,0.0000877,false,,,0x06
"I2C","data",2.2270492,0.0000877,true,,,0x18
"I2C","data",2.2271418,0.0000877,false,,,0x06
